"partido","Dim1"
"NOVO",-1.39857918013236
"PL",-1.07871089938372
"PRTB",-0.940088515048696
"DC",-0.783690184743676
"CIDADANIA",-0.779025550445968
"PSDB",-0.779025550445967
"PRD",-0.747579087963078
"PMB",-0.675394841188144
"MOBILIZA",-0.605637369801424
"AGIR",-0.593298159901149
"UNIÃO",-0.57980877072049
"PODE",-0.57502805349196
"REPUBLICANOS",-0.518618548850311
"PP",-0.495338902298483
"AVANTE",-0.44490251447702
"SOLIDARIEDADE",-0.355182662188807
"PSD",-0.298574603179792
"MDB",-0.258982753830166
"PDT",-0.00785400450518865
"PSB",0.15680224257634
"PT",1.63719302821766
"PC do B",1.63719302821766
"PV",1.63719302821766
"REDE",2.86718607960928
"PSOL",2.86718607960928
"PCB",5.90813089153464
"UP",6.30126399749935
"PSTU",7.04079067016705
