"partido","ponto_ideal"
"PT",-1.53846093576945
"PCdoB",-1.47389401134258
"PSOL",-1.24182432554411
"REDE",-1.23809287858546
"PV",-1.17669002454978
"PSB",-0.862865230211565
"PDT",-0.798074802038592
"AVANTE",-0.355111958672932
"PODE",-0.328695167707805
"SOLIDARIEDADE",-0.30698166469343
"PSD",-0.26703976696382
"MDB",-0.224163267775847
"PP",-0.170117975716043
"REPUBLICANOS",-0.1203521089872
"PSDB",0.0151637171706066
"UNIÃO",0.0296754759336534
"CIDADANIA",0.0646514929354885
"PRD",0.296619460701029
"PL",1.51084735372777
"NOVO",1.53629059558066
