"partido","migracao","frentes","coligacao","votacao","migracao_rank","frentes_rank","coligacao_rank","votacao_rank","media_rank","label"
"PSTU",-41.8465689267189,NA,-7.04079067016705,NA,1,NA,1,NA,1,"esquerda_1"
"UP",NA,NA,-6.30126399749935,NA,NA,NA,4.66666666666667,NA,4.66666666666667,"esquerda_1"
"PSOL",-9.30958911230031,-2.32499891244903,-2.86718607960928,-1.24182432554411,4.96,1,12,11.4210526315789,7.34526315789474,"esquerda_1"
"PCB",NA,NA,-5.90813089153464,NA,NA,NA,8.33333333333333,NA,8.33333333333333,"esquerda_2"
"PT",-2.56591745565571,-1.94799819108979,-1.63719302821766,-1.53846093576945,16.84,6.21052631578947,19.3333333333333,1,10.8459649122807,"esquerda_2"
"PC do B",-3.29139517722683,-1.87201887328728,-1.63719302821766,-1.47389401134258,8.92,11.4210526315789,19.3333333333333,6.21052631578947,11.4712280701754,"esquerda_2"
"REDE",-2.76120918401753,-1.31660750007763,-2.86718607960928,-1.23809287858546,12.88,16.6315789473684,12,16.6315789473684,14.5357894736842,"esquerda_2"
"PV",-0.569001755615486,-0.903618835592091,-1.63719302821766,-1.17669002454978,28.72,21.8421052631579,19.3333333333333,21.8421052631579,22.9343859649123,"esquerda_3"
"PSB",-0.753371161230904,-0.716052256059267,-0.15680224257634,-0.862865230211565,24.76,27.0526315789474,30.3333333333333,27.0526315789474,27.299649122807,"esquerda_3"
"PDT",-0.981086378287964,-0.507401999236804,0.00785400450518865,-0.798074802038592,20.8,32.2631578947368,34,32.2631578947368,29.8315789473684,"esquerda_3"
"SOLIDARIEDADE",0.0368751835013244,-0.206357671960768,0.355182662188807,-0.30698166469343,40.6,37.4736842105263,45,47.8947368421053,42.7421052631579,"centro_1"
"AVANTE",-0.178728681844306,0.00621494312254116,0.44490251447702,-0.355111958672932,32.68,53.1052631578947,48.6666666666667,37.4736842105263,42.9814035087719,"centro_1"
"PSD",0.122297593088778,0.174109301109024,0.298574603179792,-0.26703976696382,48.52,58.3157894736842,41.3333333333333,53.1052631578947,50.3185964912281,"centro_2"
"MDB",0.0843191979228675,0.233322227842966,0.258982753830166,-0.224163267775847,44.56,63.5263157894737,37.6666666666667,58.3157894736842,51.0171929824561,"centro_2"
"MOBILIZA",-0.0536904619228495,NA,0.605637369801424,NA,36.64,NA,70.6666666666667,NA,53.6533333333333,"centro_2"
"PODE",0.413313391599932,0.28233092863175,0.57502805349196,-0.328695167707805,72.28,68.7368421052632,59.6666666666667,42.6842105263158,60.8419298245614,"centro_3"
"PP",0.129154978123206,0.388809948763534,0.495338902298483,-0.170117975716043,56.44,79.1578947368421,52.3333333333333,63.5263157894737,62.8643859649123,"centro_3"
"PMB",0.124305019756565,NA,0.675394841188144,NA,52.48,NA,74.3333333333333,NA,63.4066666666667,"centro_3"
"AGIR",0.239676928394959,NA,0.593298159901149,NA,60.4,NA,67,NA,63.7,"centro_3"
"REPUBLICANOS",0.352023228633179,0.360342585015636,0.518618548850311,-0.1203521089872,68.32,73.9473684210526,56,68.7368421052632,66.7510526315789,"direita_1"
"CIDADANIA",0.253747097321424,0.00409345436033178,0.779025550445968,0.0646514929354885,64.36,47.8947368421053,85.3333333333333,84.3684210526316,70.4891228070175,"direita_1"
"PSDB",0.597743004766493,-0.0634817350021714,0.779025550445967,0.0151637171706066,88.12,42.6842105263158,81.6666666666667,73.9473684210526,71.6045614035088,"direita_1"
"UNIÃO",0.558125444875834,0.430985061869328,0.57980877072049,0.0296754759336534,84.16,84.3684210526316,63.3333333333333,79.1578947368421,77.7549122807018,"direita_2"
"DC",0.424021347618047,NA,0.783690184743676,NA,76.24,NA,89,NA,82.62,"direita_2"
"PRD",0.474665905211142,0.462820240508659,0.747579087963078,0.296619460701029,80.2,89.5789473684211,78,89.5789473684211,84.3394736842105,"direita_2"
"PRTB",1.15465434501923,NA,0.940088515048696,NA,96.04,NA,92.6666666666667,NA,94.3533333333333,"direita_3"
"PL",0.679788597035885,1.15549237322208,1.07871089938372,1.51084735372777,92.08,94.7894736842105,96.3333333333333,94.7894736842105,94.4980701754386,"direita_3"
"NOVO",1.50868643910278,1.20596968924932,1.39857918013236,1.53629059558066,100,100,100,100,100,"direita_3"
